"","edu","m1","m2","res"
"217",2,10,0,0.216155078862584
"218",2,10,10,0.375630445895377
"219",2,12,0,0.401746690184108
"220",2,12,12,0.466724760048902
"221",2,97,3,0.229240389347961
"222",2,97,0,0.356796988466085
"223",2,97,6,0.0197006876463106
"224",2,97,15,0.0203102075828307
"225",2,97,5,0.0183463628417397
"226",2,97,97,0.336549591114133
"227",2,20,0,0.0562312805708949
"228",2,20,20,0.11842277339512
"229",2,7,0,0.365601198355754
"230",2,7,7,0.498542383370293
"231",2,14,3,0.601608620038766
"232",2,14,0,0.172496979923105
"233",2,14,11,0.0390920553257714
"234",2,14,5,0.0925279394493334
"235",2,14,14,0.162461027909569
"236",2,9,0,0.189079914525817
"237",2,9,9,0.8156496524712
"238",3,3,3,0.699976662410012
"239",3,3,0,0.240326360567463
"240",3,3,1,0.0555523775663753
"241",3,3,11,0.0121501718079061
"242",3,3,17,0.0154389138057971
"243",3,3,19,0.0122968559053897
"244",3,3,4,0.0172532106315659
"245",3,3,6,0.0106440645600169
"246",3,3,2,0.0111074978271764
"247",3,3,16,0.0111376144946629
"248",3,3,18,0.00974167975843367
"249",3,3,15,0.00959307078824267
"250",3,3,5,0.012568550345006
"251",3,3,13,0.00938220768718137
"252",3,3,97,0.00975708630218981
"253",3,3,20,0.00937240516576898
"254",3,3,7,0.00929134247475363
"255",3,3,14,0.00918978861616414
"256",3,1,3,0.113364865888625
"257",3,1,0,0.200425314864664
"258",3,1,1,0.526733720257372
"259",3,1,11,0.0363165474180974
"260",3,1,17,0.036746603606725
"261",3,1,4,0.0442397169486243
"262",3,1,6,0.0142463802725825
"263",3,1,2,0.0229007888536057
"264",3,1,16,0.0601530547705822
"265",3,1,18,0.0120422385872633
"266",3,1,15,0.0160285533003286
"267",3,1,5,0.0163850358022654
"268",3,1,8,0.00967331028203275
"269",3,1,13,0.0138875749846161
"270",3,1,10,0.0111637920611574
"271",3,1,97,0.00950779361205157
"272",3,1,20,0.0120871519601556
"273",3,1,12,0.00931545937868946
"274",3,1,9,0.00921389888629139
"275",3,11,3,0.0444864659593413
"276",3,11,0,0.288549661506092
"277",3,11,1,0.257387517125318
"278",3,11,11,0.321256612610238
"279",3,11,17,0.047360929203597
"280",3,11,4,0.0227069084826078
"281",3,11,6,0.0104179179033097
"282",3,11,2,0.0205009087375459
"283",3,11,16,0.0432880010245483
"284",3,11,15,0.011747457642068
"285",3,11,13,0.00965401486525489
"286",3,11,97,0.0200395977424422
"287",3,17,3,0.104106036391709
"288",3,17,0,0.351532308625633
"289",3,17,1,0.146888798706055
"290",3,17,11,0.0322756218162373
"291",3,17,17,0.260084771368651
"292",3,17,19,0.0672059761131109
"293",3,17,4,0.0284310596237186
"294",3,17,6,0.0116268966471958
"295",3,17,2,0.0194968152330312
"296",3,17,16,0.0227326952685673
"297",3,17,15,0.0297960693717234
"298",3,17,8,0.0157771201313656
"299",3,17,10,0.00945644772087867
"300",3,17,97,0.0110856210421096
"301",3,19,3,0.195071975312265
"302",3,19,0,0.138862606621287
"303",3,19,1,0.0133656923759321
"304",3,19,11,0.0140829450121634
"305",3,19,17,0.247920894293301
"306",3,19,19,0.177284674301938
"307",3,19,4,0.0608124447128435
"308",3,19,16,0.0483393684749186
"309",3,19,18,0.0837166317602342
"310",3,19,5,0.0347428130119217
"311",3,19,13,0.072567959766633
"312",3,19,12,0.0111416127033014
"313",3,4,3,0.0262115194942362
"314",3,4,0,0.230986599873426
"315",3,4,1,0.0493424207579613
"316",3,4,11,0.00970696879074505
"317",3,4,17,0.0157771026882309
"318",3,4,19,0.0103027026992921
"319",3,4,4,0.707699861434545
"320",3,4,6,0.0122091677972906
"321",3,4,2,0.0116785295203836
"322",3,4,16,0.0120451873252053
"323",3,4,18,0.00947856694737989
"324",3,4,15,0.00949523301686844
"325",3,4,5,0.0113677478047502
"326",3,4,8,0.00964259679531329
"327",3,4,97,0.00929272515914169
"328",3,4,7,0.00921361139648386
"329",3,6,3,0.0256682801346144
"330",3,6,0,0.23962125584335
"331",3,6,1,0.0367376522418171
"332",3,6,11,0.0100335405294848
"333",3,6,17,0.011034944922371
"334",3,6,19,0.0110716655337118
"335",3,6,4,0.0200085748083666
"336",3,6,6,0.712959508880811
"337",3,6,2,0.0103988547127126
"338",3,6,16,0.00994794904928899
"339",3,6,15,0.00926338545960768
"340",3,6,5,0.0105455163344941
"341",3,6,8,0.0115885940435087
"342",3,6,97,0.00938050631332644
