binLeft,binRight,value
73858.97603504822,74449.84784332862,0.0
74449.84784332862,75040.719651609,0.0
75040.719651609,75631.59145988939,0.0
75631.59145988939,76222.46326816977,0.0
76222.46326816977,76813.33507645015,0.0
76813.33507645015,77404.20688473055,0.0
77404.20688473055,77995.07869301093,338.944536785521
77995.07869301093,78585.95050129131,0.0
78585.95050129131,79176.8223095717,0.0
79176.8223095717,79767.6941178521,0.0
79767.6941178521,80358.56592613248,0.0
80358.56592613248,80949.43773441286,0.0
80949.43773441286,81540.30954269324,0.0
81540.30954269324,82131.18135097362,0.0
82131.18135097362,82722.05315925402,0.0
82722.05315925402,83312.9249675344,0.0
83312.9249675344,83903.79677581479,0.0
83903.79677581479,84494.66858409517,140.35477071968901
84494.66858409517,85085.54039237557,0.0
85085.54039237557,85676.41220065595,0.0
85676.41220065595,86267.28400893633,0.0
86267.28400893633,86858.15581721671,167.298908741262
86858.15581721671,87449.02762549711,0.0
87449.02762549711,88039.8994337775,0.0
88039.8994337775,88630.77124205788,0.0
88630.77124205788,89221.64305033826,0.0
89221.64305033826,89812.51485861864,0.0
89812.51485861864,90403.38666689904,0.0
90403.38666689904,90994.25847517942,0.0
90994.25847517942,91585.1302834598,0.0
91585.1302834598,92176.00209174019,0.0
92176.00209174019,92766.87390002058,0.0
92766.87390002058,93357.74570830096,0.0
93357.74570830096,93948.61751658135,0.0
93948.61751658135,94539.48932486173,0.0
94539.48932486173,95130.36113314211,0.0
95130.36113314211,95721.23294142251,0.0
95721.23294142251,96312.10474970289,0.0
96312.10474970289,96902.97655798327,0.0
96902.97655798327,97493.84836626366,0.0
97493.84836626366,98084.72017454405,0.0
98084.72017454405,98675.59198282444,0.0
98675.59198282444,99266.46379110482,0.0
99266.46379110482,99857.3355993852,0.0
99857.3355993852,100448.2074076656,0.0
100448.2074076656,101039.07921594598,0.0
101039.07921594598,101629.95102422636,0.0
101629.95102422636,102220.82283250675,0.0
102220.82283250675,102811.69464078713,0.0
102811.69464078713,103402.56644906753,0.0
103402.56644906753,103993.43825734791,0.0
103993.43825734791,104584.31006562829,0.0
104584.31006562829,105175.18187390867,0.0
105175.18187390867,105766.05368218907,0.0
105766.05368218907,106356.92549046945,0.0
106356.92549046945,106947.79729874984,0.0
106947.79729874984,107538.66910703022,0.0
107538.66910703022,108129.5409153106,0.0
108129.5409153106,108720.412723591,0.0
108720.412723591,109311.28453187138,0.0
109311.28453187138,109902.15634015176,0.0
109902.15634015176,110493.02814843215,0.0
110493.02814843215,111083.89995671254,0.0
111083.89995671254,111674.77176499293,0.0
111674.77176499293,112265.64357327331,0.0
112265.64357327331,112856.51538155369,0.0
112856.51538155369,113447.38718983409,0.0
113447.38718983409,114038.25899811447,0.0
114038.25899811447,114629.13080639485,0.0
114629.13080639485,115220.00261467524,0.0
115220.00261467524,115810.87442295562,0.0
115810.87442295562,116401.74623123601,0.0
116401.74623123601,116992.6180395164,0.0
116992.6180395164,117583.48984779678,0.0
117583.48984779678,118174.36165607716,244.40097095619998
