binLeft,binRight,value
35671.25467488497,35978.54219501609,2352.421259764454
35978.54219501609,36285.82971514721,3067.413251496228
36285.82971514721,36593.117235278325,577.5114841612329
36593.117235278325,36900.40475540944,747.9146105106329
36900.40475540944,37207.69227554056,1646.0104937571455
37207.69227554056,37514.97979567168,3341.671885842434
37514.97979567168,37822.2673158028,1273.579821166135
37822.2673158028,38129.554835933915,4923.377735728787
38129.554835933915,38436.84235606503,355.95494842945
38436.84235606503,38744.12987619615,6320.692231804242
38744.12987619615,39051.41739632727,5483.675058288042
39051.41739632727,39358.70491645839,3988.37047950048
39358.70491645839,39665.992436589506,13539.379082684824
39665.992436589506,39973.279956720624,4863.075693457676
39973.279956720624,40280.56747685174,1224.4447467455439
40280.56747685174,40587.85499698286,304.878100959448
40587.85499698286,40895.14251711398,1453.5888484081177
