houseid,hhsize,Age_U18,Age_1924,Age_2545,Age_4665,Age_U65,Age_U24,Male,pr_male,drvrcnt,numadlt,wrkcount,Pr_senior,Pr_adult,White,Black,Asian,AmIndian,Hawai,Mulrace,Other_race,Pr_white,HH_white,Work_hm,Pr_wrkhm,Home_own,Home_rent,Home_other,hhvehcnt,HH_veh,Veh_0,Veh_1,Veh_2,Veh_3,Veh_acces,Veh_avl,hhfaminc,Low_inc,Medium_inc,Hg_inc,Income_low,Urban_big,Rural_Big,wthhfin,BKSH,RDSH,NOSH,Sanjose,Newyork,Atlanta,Chicago,Low_BK,Low_RD,high_RD,Veh0_BK,Veh0_RD,Rural_BK,Rural_RD,N_BK,N_RD,C_BK,C_RD,C_RD_SEnior,INCLW_bk,INCLW_rd,VMTwt_HH,LN_VMTHH
30037377,1,0,0,0,1,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,2,2,0,0,1,0,2,1,08,0,1,0,0,1,0,15.27052663499,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19513.5929905418,9.87891782316057
30037534,1,0,0,0,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,1,0,0,1,1,02,1,0,0,1,0,1,270.37593090563,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7441.94379971039,8.9150217215737
30037604,2,0,0,0,2,0,0,1,.5,2,2,2,0,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,3,3,0,0,0,1,1.5,1,08,0,1,0,0,1,0,208.94796923036,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17288.4373160617,9.75785103425313
30037671,1,0,0,0,0,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,1,0,1,0,0,1,1,04,1,0,0,1,1,0,823.3027596208,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19001.5900741917,9.85233056855219
30037672,2,0,0,2,0,0,0,0,0,1,2,2,0,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,1,1,09,0,1,0,0,1,0,2590.00737421639,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6984.97301204658,8.8516595622111
30037676,1,0,0,0,1,0,0,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,1,1,04,1,0,0,1,1,0,620.83817249,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16151.5053695635,9.68983044786152
30037763,1,0,0,1,0,0,0,1,1,1,1,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,4,3,0,0,0,0,4,1,09,0,1,0,0,1,0,222.71429453661,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7612.67269142714,8.93770094828889
30037824,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,01,1,0,0,1,1,0,285.57790579946,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1955.51015743272,7.5789176332714
30038094,2,0,0,0,2,0,0,1,.5,2,2,2,0,1,2,0,0,0,0,0,0,1,1,0,0,1,0,0,3,3,0,0,0,1,1.5,1,07,0,1,0,1,1,0,2746.56357969406,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36769.8868086833,10.5124616917277
30038180,2,0,0,0,2,0,0,1,.5,2,2,2,0,1,2,0,0,0,0,0,0,1,1,0,0,1,0,0,3,3,0,0,0,1,1.5,1,11,0,0,1,0,1,0,499.25047915652,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29653.6453953914,10.2973740665345
