houseid,personid,Age_U18,Age_1924,Age_2545,Age_4665,Age_U65,Age_U24,Male,White,Black,Asian,AmIndian,Hawai,Mulrace,Other_race,Work_hm,worker,Home_own,Home_rent,Home_other,hhsize,hhvehcnt,Veh_0,Veh_1,Veh_2,Veh_3,Veh_4,hhfaminc,Low_inc,Hg_inc,Medium_inc,Income_low,drvrcnt,Driver_nw,DRV_0,DRV_1,DRV_2,DRV_3,DRV_4,Veh_acces,Veh_avl,numadlt,Urban_big,Rural_Big,wtperfin,BKSH,RDSH,NOSH,Sanjose,Newyork,Atlanta,Chicago,VMT_wt,Ln_VMT
30424894,02,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,4,4,0,0,0,0,1,07,0,0,1,1,2,2,0,0,1,0,0,2,1,2,1,0,299.00289809216,0,0,1,1,0,0,0,3609893.383971,9.39881835569094
30424952,01,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,2,4,0,0,0,0,1,08,0,0,1,0,2,2,0,0,1,0,0,2,1,2,1,0,1393.1531042299,0,0,1,0,0,0,1,3491367.06297949,7.82687799699537
30424952,02,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,4,0,0,0,0,1,08,0,0,1,0,2,2,0,0,1,0,0,2,1,2,1,0,1531.46004461137,0,0,1,0,0,0,1,4823463.5846073,8.05534342886263
30424956,01,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,2,1,0,1,0,0,0,03,1,0,0,1,2,2,0,0,1,0,0,.5,0,2,1,0,475.90650415916,0,0,1,0,1,0,0,315797.278964888,6.49914021496784
30424956,02,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,1,0,1,0,0,0,03,1,0,0,1,2,2,0,0,1,0,0,.5,0,2,1,0,509.41235012718,0,0,1,0,1,0,0,338030.753173892,6.49914021496786
30425023,01,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,4,2,0,0,1,0,0,08,0,0,1,0,2,2,0,0,1,0,0,1,1,3,1,0,1539.82043605104,0,0,1,0,1,0,0,13547278.6035596,9.0823888116641
30425023,02,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,4,2,0,0,1,0,0,08,0,0,1,0,2,2,0,0,1,0,0,1,1,3,1,0,1812.59051703096,0,0,1,0,1,0,0,14048981.2646406,8.95567712838157
30425023,03,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,4,2,0,0,1,0,0,08,0,0,1,0,2,2,0,0,1,0,0,1,1,3,1,0,2200.28441927828,0,0,1,0,1,0,0,29127772.1950234,9.49093627170512
30425023,04,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,4,2,0,0,1,0,0,08,0,0,1,0,2,2,0,0,1,0,0,1,1,3,1,0,1802.89832362066,0,0,1,0,1,0,0,4426097.35550548,7.8062852175975
30425030,01,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,5,3,0,0,0,1,0,09,0,0,1,0,3,3,0,0,0,1,0,1,1,2,1,0,183.3679439834,0,0,1,0,1,0,0,2354505.82900806,9.46042454380184
30425030,02,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,5,3,0,0,0,1,0,09,0,0,1,0,3,3,0,0,0,1,0,1,1,2,1,0,316.96612305195,0,0,1,0,1,0,0,14669363.3365505,10.742498456467
30425030,03,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,5,3,0,0,0,1,0,09,0,0,1,0,3,3,0,0,0,1,0,1,1,2,1,0,279.66571594371,0,0,1,0,1,0,0,7934317.72063821,10.2531481533884
30425090,01,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,1,2,0,0,1,0,0,05,0,0,1,1,1,1,0,1,0,0,0,2,1,1,1,0,6663.29383169187,0,0,1,0,0,0,1,4022697.11913069,6.40474900426828
30425100,01,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,03,1,0,0,1,1,1,0,1,0,0,0,1,1,1,1,0,8843.94345399459,0,0,1,0,1,0,0,10555688.7095152,7.08552482440803
30425295,01,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,2,2,0,0,1,0,0,04,1,0,0,1,2,2,0,0,1,0,0,1,1,2,0,1,689.04641640665,0,0,1,0,0,1,0,4375630.78671471,8.75641007188941
30425295,02,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,2,0,0,1,0,0,04,1,0,0,1,2,2,0,0,1,0,0,1,1,2,0,1,616.2642799157,0,0,1,0,0,1,0,630721.839922521,6.93192092348091
30425319,01,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,06,0,0,1,1,1,1,0,1,0,0,0,1,1,1,1,0,940.88105608375,0,0,1,1,0,0,0,3300624.85795765,8.16309065029622
30425322,01,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,2,0,0,1,0,0,08,0,0,1,0,2,2,0,0,1,0,0,1,1,2,1,0,52.11457753817,0,0,1,0,1,0,0,281275.664190745,8.5938310321805
30425322,02,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,2,2,0,0,1,0,0,08,0,0,1,0,2,2,0,0,1,0,0,1,1,2,1,0,56.18235279279,0,0,1,0,1,0,0,159212.922285389,7.94974783222652
30425391,01,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,5,5,0,0,0,0,1,11,0,1,0,0,5,4,0,0,0,0,1,1,1,5,1,0,121.51268829698,0,0,1,0,0,0,1,2577391.04994478,9.96231668106589
30425391,02,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,5,5,0,0,0,0,1,11,0,1,0,0,5,4,0,0,0,0,1,1,1,5,1,0,130.87480889595,0,0,1,0,0,0,1,5434188.39559575,10.6340036124708
30425391,03,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,5,5,0,0,0,0,1,11,0,1,0,0,5,4,0,0,0,0,1,1,1,5,1,0,256.75750137352,0,0,1,0,0,0,1,5524774.40065441,9.97666737981085
30425391,04,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,5,5,0,0,0,0,1,11,0,1,0,0,5,4,0,0,0,0,1,1,1,5,1,0,263.46254132232,0,0,1,0,0,0,1,4008012.16981685,9.62996049022428
30425391,05,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,5,5,0,0,0,0,1,11,0,1,0,0,5,4,0,0,0,0,1,1,1,5,1,0,263.46254132232,0,0,1,0,0,0,1,4205244.18018885,9.67799436799439
30425448,02,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,2,2,0,0,1,0,0,06,0,0,1,1,2,2,0,0,1,0,0,1,1,2,1,0,1968.12481701454,0,0,1,0,0,0,1,20115672.3610051,9.2322711253617
30425547,01,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,3,2,0,0,1,0,0,08,0,0,1,0,2,2,0,0,1,0,0,1,1,1,1,0,472.13607888932,0,0,1,1,0,0,0,2692995.73425321,8.64907284567168
30425547,02,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,3,2,0,0,1,0,0,08,0,0,1,0,2,2,0,0,1,0,0,1,1,1,1,0,475.51807647988,0,0,1,1,0,0,0,2508521.90716781,8.57098890214667
30425603,01,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,1,0,0,3,3,0,0,0,1,0,08,0,0,1,0,2,2,0,0,1,0,0,1.5,1,2,0,1,330.26741556655,0,1,0,0,0,1,0,15873708.8478581,10.7802928962337
30425603,02,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,3,3,0,0,0,1,0,08,0,0,1,0,2,2,0,0,1,0,0,1.5,1,2,0,1,316.8417980129,0,0,1,0,0,1,0,2917433.33404211,9.12792080013103
30425642,01,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,3,3,0,0,0,1,0,06,0,0,1,1,3,3,0,0,0,1,0,1,1,3,1,0,95.56014447721,0,1,0,0,1,0,0,3974478.75960708,10.6356723766085
30425642,02,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,3,3,0,0,0,1,0,06,0,0,1,1,3,3,0,0,0,1,0,1,1,3,1,0,99.19258090206,0,0,1,0,1,0,0,2150630.55182948,9.98425453631987
30425655,01,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,06,0,0,1,1,1,1,0,1,0,0,0,1,1,1,1,0,387.61412873927,0,0,1,0,1,0,0,15415285.9872979,10.5908849849293
30425792,01,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,4,4,0,0,0,0,1,10,0,1,0,0,4,4,0,0,0,0,1,1,1,4,1,0,685.12596380715,0,0,1,0,0,1,0,8976547.78283984,9.48059954333594
30425792,02,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,4,4,0,0,0,0,1,10,0,1,0,0,4,4,0,0,0,0,1,1,1,4,1,0,932.12643326557,0,0,1,0,0,1,0,26430128.0922577,10.2525819364953
30425792,03,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,1,1,0,0,4,4,0,0,0,0,1,10,0,1,0,0,4,4,0,0,0,0,1,1,1,4,1,0,1520.81405102765,0,0,1,0,0,1,0,29119840.2705436,9.85998149037693
30425792,04,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,1,1,0,0,4,4,0,0,0,0,1,10,0,1,0,0,4,4,0,0,0,0,1,1,1,4,1,0,1520.81405102765,0,0,1,0,0,1,0,54702046.5403595,10.4904384516166
30425907,01,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,4,3,0,0,0,1,0,09,0,0,1,0,3,3,0,0,0,1,0,1,1,3,1,0,699.35303349288,0,0,1,0,1,0,0,3331959.12835662,8.46912521640542
30425907,02,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,4,3,0,0,0,1,0,09,0,0,1,0,3,3,0,0,0,1,0,1,1,3,1,0,881.20707543666,0,0,1,0,1,0,0,5017593.08753633,8.64734387588128
30426126,01,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,1,4,0,0,0,0,1,07,0,0,1,1,1,1,0,1,0,0,0,4,1,1,1,0,162.4041075283,0,0,1,0,0,1,0,634506.351948772,8.27077077769576
30426208,01,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,4,5,0,0,0,0,1,11,0,1,0,0,3,3,0,0,0,1,0,1.66666666666667,1,2,1,0,1371.95913370666,0,0,1,0,1,0,0,31166617.2857268,10.0309071184403
30426208,02,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,4,5,0,0,0,0,1,11,0,1,0,0,3,3,0,0,0,1,0,1.66666666666667,1,2,1,0,1614.99357800982,0,0,1,0,1,0,0,55805965.8136748,10.4503340157003
30426208,03,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,4,5,0,0,0,0,1,11,0,1,0,0,3,3,0,0,0,1,0,1.66666666666667,1,2,1,0,1606.35796507497,0,0,1,0,1,0,0,8778392.88038248,8.60626211686719
30426306,01,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,4,2,0,0,1,0,0,08,0,0,1,0,2,2,0,0,1,0,0,1,1,2,1,0,700.14417238782,0,0,1,0,1,0,0,6396226.59910348,9.12004196224509
30426306,02,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,4,2,0,0,1,0,0,08,0,0,1,0,2,2,0,0,1,0,0,1,1,2,1,0,1295.47429137741,0,0,1,0,1,0,0,49831571.5899509,10.5575531502637
30426309,01,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,4,3,0,0,0,1,0,11,0,1,0,0,3,3,0,0,0,1,0,1,1,3,1,0,3206.18433103911,0,0,1,0,1,0,0,47470316.3395585,9.60284586587651
30426309,02,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,4,3,0,0,0,1,0,11,0,1,0,0,3,3,0,0,0,1,0,1,1,3,1,0,2723.69744202756,0,0,1,0,1,0,0,8670972.517618,8.06605999039823
30426309,03,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,4,3,0,0,0,1,0,11,0,1,0,0,3,3,0,0,0,1,0,1,1,3,1,0,4147.51460758706,0,0,1,0,1,0,0,334112682.185639,11.29673673522
30426310,01,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,3,1,0,1,0,0,0,03,1,0,0,1,1,1,0,1,0,0,0,1,1,3,1,0,412.04151047313,0,0,1,0,1,0,0,961776.992708603,7.75584211376145
30426310,02,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,3,1,0,1,0,0,0,03,1,0,0,1,1,1,0,1,0,0,0,1,1,3,1,0,384.94008786549,0,0,1,0,1,0,0,1397865.66097348,8.19764473630604
30426310,03,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,3,1,0,1,0,0,0,03,1,0,0,1,1,1,0,1,0,0,0,1,1,3,1,0,539.21354290208,0,1,0,0,1,0,0,7169501.89340552,9.4953102698052
30426321,01,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,04,1,0,0,1,1,1,0,1,0,0,0,1,1,1,1,0,2204.983902117,0,0,1,0,0,1,0,9116991.03976115,8.32741671563744
30426439,01,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,1,0,1,0,0,0,03,1,0,0,1,2,2,0,0,1,0,0,.5,0,2,1,0,31.10081852225,0,0,1,0,1,0,0,100190.975861232,8.07790963162766
30426439,02,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,2,1,0,1,0,0,0,03,1,0,0,1,2,2,0,0,1,0,0,.5,0,2,1,0,33.52837614546,0,0,1,0,1,0,0,108011.328468812,8.07790963162753
30426678,01,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,2,1,0,1,0,0,0,06,0,0,1,1,2,2,0,0,1,0,0,.5,0,2,1,0,2483.06271763792,1,1,0,0,1,0,0,1787258.88290142,6.58033395896134
30426678,02,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,1,0,1,0,0,0,06,0,0,1,1,2,2,0,0,1,0,0,.5,0,2,1,0,2303.28133475904,0,1,0,0,1,0,0,4123622.15565248,7.49071084846822
30426689,01,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,3,3,0,0,0,1,0,09,0,0,1,0,3,3,0,0,0,1,0,1,1,3,1,0,529.50617714403,0,0,1,0,1,0,0,531491.825308318,6.91249403332931
30426689,03,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,3,3,0,0,0,1,0,09,0,0,1,0,3,3,0,0,0,1,0,1,1,3,1,0,756.62341153849,0,0,1,0,1,0,0,351285.117509092,6.1426393749051
30426806,01,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,2,2,0,0,1,0,0,08,0,0,1,0,2,2,0,0,1,0,0,1,1,2,1,0,89.32798940632,0,0,1,0,1,0,0,1159097.65853917,9.47091457369856
